,Equity
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,10000.0
30,10000.0
31,10000.0
32,10000.0
33,10000.0
34,10000.0
35,10000.0
36,10000.0
37,10000.0
38,10000.0
39,10000.0
40,10000.0
41,10000.0
42,10000.0
43,10000.0
44,10000.0
45,10000.0
46,10000.0
47,10000.0
48,10000.0
49,10000.0
50,10000.0
51,10000.0
52,10000.0
53,10000.0
54,10000.0
55,10000.0
56,10000.0
57,10000.0
58,10000.0
59,10000.0
60,10000.0
61,10000.0
62,10000.0
63,10000.0
64,10000.0
65,10000.0
66,10000.0
67,10000.0
68,10000.0
69,10000.0
70,10000.0
71,10000.0
72,10000.0
73,10012.0
74,10012.0
75,10057.0
76,10057.0
77,10057.0
78,10057.0
79,10057.0
80,10057.0
81,10057.0
82,10057.0
83,10057.0
84,10057.0
85,10057.0
86,10057.0
87,10057.0
88,10057.0
89,10057.0
90,10057.0
91,10057.0
92,10057.0
93,10057.0
94,10057.0
95,10057.0
96,10057.0
97,10057.0
98,10057.0
99,10057.0
100,10093.0
101,10093.0
102,10093.0
103,10093.0
104,10093.0
105,10093.0
106,10093.0
107,10093.0
108,10093.0
109,10093.0
110,10093.0
111,10093.0
112,10093.0
113,10093.0
114,10093.0
115,10093.0
116,10093.0
117,10093.0
118,10093.0
119,10093.0
120,10093.0
121,10093.0
122,10093.0
123,10093.0
124,10093.0
125,10093.0
126,10093.0
127,10093.0
128,10093.0
129,10093.0
130,10093.0
131,10093.0
132,10093.0
133,10093.0
134,10093.0
135,10093.0
136,10093.0
137,10093.0
138,10093.0
139,10093.0
140,10093.0
141,10093.0
142,10093.0
143,10093.0
144,10093.0
145,10093.0
146,10093.0
147,10093.0
148,10093.0
149,10093.0
150,10093.0
151,10093.0
152,10093.0
153,10093.0
154,10093.0
155,10093.0
156,10093.0
157,10093.0
158,10093.0
159,10093.0
160,10093.0
161,10093.0
162,10093.0
163,10093.0
164,10093.0
165,10093.0
166,10093.0
167,10093.0
168,10093.0
169,10093.0
170,10093.0
171,10093.0
172,10093.0
173,10093.0
174,10093.0
175,10093.0
176,10093.0
177,10093.0
178,10093.0
179,10093.0
180,10093.0
181,10093.0
182,10093.0
183,10093.0
184,10093.0
185,10093.0
186,10093.0
187,10033.0
188,10033.0
189,10033.0
190,10033.0
191,10033.0
192,10033.0
193,10033.0
194,10033.0
195,10033.0
196,10033.0
197,10033.0
198,10033.0
199,10033.0
200,10033.0
201,10033.0
202,10033.0
203,10033.0
204,10033.0
205,10033.0
206,10033.0
207,10033.0
208,10033.0
209,10033.0
210,10033.0
211,10033.0
212,10033.0
213,10033.0
214,10033.0
215,10033.0
216,10033.0
217,10033.0
218,10033.0
219,10033.0
220,10033.0
221,10033.0
222,10033.0
223,10033.0
224,10033.0
225,10033.0
226,10033.0
227,10033.0
228,10033.0
229,10033.0
230,10033.0
231,10033.0
232,10033.0
233,10033.0
234,10033.0
235,10033.0
236,10033.0
237,10033.0
238,10033.0
239,10033.0
240,10033.0
241,10033.0
242,10033.0
243,10033.0
244,10033.0
245,10033.0
246,10033.0
247,10033.0
248,10033.0
249,10033.0
250,10033.0
251,10033.0
252,10033.0
253,10033.0
254,10033.0
255,10033.0
256,10033.0
257,10033.0
258,10033.0
259,10033.0
260,10033.0
261,10033.0
262,10033.0
263,10033.0
264,10033.0
265,10033.0
266,10033.0
267,10033.0
268,10033.0
269,10033.0
270,10033.0
271,10033.0
272,10033.0
273,10033.0
274,10033.0
275,10033.0
276,10033.0
277,10033.0
278,10033.0
279,10033.0
280,10033.0
281,10033.0
282,10033.0
283,10033.0
284,10033.0
285,10033.0
286,10033.0
287,10033.0
288,10033.0
289,10033.0
290,10033.0
291,10033.0
292,10033.0
293,10033.0
294,10033.0
295,10033.0
296,10033.0
297,10033.0
298,10033.0
299,10033.0
300,10033.0
301,10033.0
302,10033.0
303,10033.0
304,10033.0
305,10033.0
306,10033.0
307,10033.0
308,10033.0
309,10033.0
310,10033.0
311,10033.0
312,10033.0
313,10033.0
314,10033.0
315,10033.0
316,10033.0
317,10033.0
318,10033.0
319,10033.0
320,10033.0
321,10033.0
322,10033.0
323,10033.0
324,10033.0
325,10033.0
