[2026-03-10 09:03:00] BUYRAW=1! rsi=24.9/32.0 | h1_trend=1
[2026-03-10 09:04:00] BUYRAW=1! rsi=31.5/32.0 | h1_trend=1
[2026-03-10 10:05:00] BUYRAW=1! rsi=24.6/32.0 | h1_trend=1
[2026-03-10 10:06:00] BUYRAW=1! rsi=17.4/32.0 | h1_trend=1
[2026-03-10 10:07:00] BUYRAW=1! rsi=14.0/32.0 | h1_trend=1
[2026-03-10 10:08:00] BUYRAW=1! rsi=9.5/32.0 | h1_trend=1
[2026-03-10 10:09:00] BUYRAW=1! rsi=8.1/32.0 | h1_trend=1
[2026-03-10 10:10:00] BUYRAW=1! rsi=9.6/32.0 | h1_trend=1
[2026-03-10 10:52:00] BUYRAW=1! rsi=31.4/32.0 | h1_trend=1
[2026-03-10 11:07:00] BUYRAW=1! rsi=21.6/32.0 | h1_trend=1
[2026-03-10 11:08:00] BUYRAW=1! rsi=23.2/32.0 | h1_trend=1
[2026-03-10 11:09:00] BUYRAW=1! rsi=17.3/32.0 | h1_trend=1
[2026-03-10 11:10:00] BUYRAW=1! rsi=16.0/32.0 | h1_trend=1
[2026-03-10 12:29:00] BUYRAW=1! rsi=11.0/32.0 | h1_trend=1
[2026-03-10 15:13:00] BUYRAW=1! rsi=22.8/32.0 | h1_trend=1
[2026-03-10 15:14:00] BUYRAW=1! rsi=11.2/32.0 | h1_trend=1
[2026-03-10 15:15:00] BUYRAW=1! rsi=10.5/32.0 | h1_trend=1
[2026-03-10 15:16:00] BUYRAW=1! rsi=8.3/32.0 | h1_trend=1
[2026-03-10 15:17:00] BUYRAW=1! rsi=5.9/32.0 | h1_trend=1
[2026-03-10 15:18:00] BUYRAW=1! rsi=11.1/32.0 | h1_trend=1
[2026-03-10 16:25:00] BUYRAW=1! rsi=15.0/32.0 | h1_trend=1
[2026-03-10 16:27:00] BUYRAW=1! rsi=11.2/32.0 | h1_trend=1
[2026-03-10 16:28:00] BUYRAW=1! rsi=9.0/32.0 | h1_trend=1
[2026-03-10 16:30:00] BUYRAW=1! rsi=7.5/32.0 | h1_trend=1
[2026-03-10 17:50:00] BUYRAW=1! rsi=19.6/32.0 | h1_trend=1
[2026-03-10 09:03:00] BUYRAW=1! rsi=24.9/32.0 | h1_trend=1
[2026-03-10 09:04:00] BUYRAW=1! rsi=31.5/32.0 | h1_trend=1
[2026-03-10 10:05:00] BUYRAW=1! rsi=24.6/32.0 | h1_trend=1
[2026-03-10 10:06:00] BUYRAW=1! rsi=17.4/32.0 | h1_trend=1
[2026-03-10 10:07:00] BUYRAW=1! rsi=14.0/32.0 | h1_trend=1
[2026-03-10 10:08:00] BUYRAW=1! rsi=9.5/32.0 | h1_trend=1
[2026-03-10 10:09:00] BUYRAW=1! rsi=8.1/32.0 | h1_trend=1
[2026-03-10 10:10:00] BUYRAW=1! rsi=9.6/32.0 | h1_trend=1
[2026-03-10 10:52:00] BUYRAW=1! rsi=31.4/32.0 | h1_trend=1
[2026-03-10 11:07:00] BUYRAW=1! rsi=21.6/32.0 | h1_trend=1
[2026-03-10 11:08:00] BUYRAW=1! rsi=23.2/32.0 | h1_trend=1
[2026-03-10 11:09:00] BUYRAW=1! rsi=17.3/32.0 | h1_trend=1
[2026-03-10 11:10:00] BUYRAW=1! rsi=16.0/32.0 | h1_trend=1
[2026-03-10 12:29:00] BUYRAW=1! rsi=11.0/32.0 | h1_trend=1
[2026-03-10 15:13:00] BUYRAW=1! rsi=22.8/32.0 | h1_trend=1
[2026-03-10 15:14:00] BUYRAW=1! rsi=11.2/32.0 | h1_trend=1
[2026-03-10 15:15:00] BUYRAW=1! rsi=10.5/32.0 | h1_trend=1
[2026-03-10 15:16:00] BUYRAW=1! rsi=8.3/32.0 | h1_trend=1
[2026-03-10 15:17:00] BUYRAW=1! rsi=5.9/32.0 | h1_trend=1
[2026-03-10 15:18:00] BUYRAW=1! rsi=11.1/32.0 | h1_trend=1
[2026-03-10 16:25:00] BUYRAW=1! rsi=15.0/32.0 | h1_trend=1
[2026-03-10 16:27:00] BUYRAW=1! rsi=11.2/32.0 | h1_trend=1
[2026-03-10 16:28:00] BUYRAW=1! rsi=9.0/32.0 | h1_trend=1
[2026-03-10 16:30:00] BUYRAW=1! rsi=7.5/32.0 | h1_trend=1
[2026-03-10 17:50:00] BUYRAW=1! rsi=19.6/32.0 | h1_trend=1
